id,word2vec
94,"[0.2110118302093311,0.3464201944456859,0.21085151005536318,-0.10769689413295551,0.15509664728729564]"
95,"[0.19649850613878744,0.1934101036504695,0.08676593642877904,-0.12132143121408788,0.07544916172168756]"
96,"[0.23387647233903408,0.3840379733592272,0.21672506146132947,-0.16265944438055158,0.19334641825407745]"
97,"[0.17135523001735029,0.1976752391873071,0.1233662642681828,-0.09334448574540707,0.24187765911651346]"
98,"[0.10499652013039361,0.14472742536320138,0.18866284277576667,-0.10215575905301824,0.04821134989078229]"
99,"[0.2622930345435937,0.4001257326453924,0.23804386262781918,-0.11896500806324184,0.27545158937573433]"
100,"[0.16696972217566022,0.31529206823971534,0.19371861736807558,-0.1022574504216512,0.1583153836092808]"
101,"[0.0988529229705984,0.3247595200823112,0.20142328535968607,-0.18322794156318362,0.16174652901562778]"
102,"[0.20891414483388265,0.24307076968252658,0.2228483338529865,-0.12349827631066243,0.1287006647636493]"
103,"[-0.044952122727409005,0.14467092719860375,0.10988082783296704,-0.04331793216988444,0.08108528261072934]"
104,"[0.11231272264073291,0.27884112189834315,0.2410456072539091,-0.11927094240672886,0.12407261490200956]"
105,"[0.2217740633059293,0.30927125448943116,0.200920540955849,-0.09941865399014205,0.15697921509854496]"
106,"[-0.008694431020153893,0.045317229090465434,0.19534539327853254,-0.1810053065419197,-0.006496682038737668]"
107,"[0.20561635970241493,0.16370200008774796,0.03585284327467282,-0.030895259645250108,0.13083901877204576]"
108,"[0.0547681808581247,0.060366600286215544,0.11129369953756824,-0.03939857629730421,-0.0028421469854519646]"
109,"[0.13760472047660086,0.16824536678312277,0.19307515746051512,-0.09704439193700198,0.03463333962416207]"
110,"[0.22405720315873623,0.19233065734014793,0.2105232595520861,-0.11986031131271054,0.09067964893491828]"
111,"[0.07859668880701065,0.3168183487346944,0.13720181672012105,-0.009018949068644467,0.060895336134468805]"
112,"[0.1114307910736118,0.37377589302403585,0.12940769003970282,-0.010707301021154437,0.03970176420573677]"
113,"[0.10866896319203079,0.30689332576002926,0.05887682200409472,0.034534566570073366,0.09985235810745507]"
114,"[0.12134976043469375,0.24095815647807384,0.07802945292658275,0.011454203786949316,0.02297657821327448]"
115,"[0.16193668373549977,0.3845793064683676,0.10639005371679862,-0.01819339375166843,0.015385824139229953]"
116,"[0.04112917258355178,0.12289743757757701,0.15423952793016243,-0.06913147180488234,-0.018129204179307346]"
117,"[0.09529225724308114,0.22685935465913068,0.14329945359771187,-0.014561528732117853,-0.052672587237075755]"
118,"[0.1333278022849789,0.16518559475214437,0.15841961240109342,-0.0017667863732920245,-0.04876338955588066]"
119,"[0.09794341661036014,0.24668753320972125,0.040535486799975234,0.004702209557096163,0.04349630683039626]"
120,"[0.10348282809204915,0.20074990632779458,0.05286716779365259,0.02213090975933215,0.020990511594230637]"
121,"[0.12580583301874307,0.24847844092605206,0.04371908256927362,0.004151169640513567,0.09517255167548473]"
122,"[0.11128618224309042,0.3218264705859698,0.1918047030384724,-0.025518349586771086,-0.016815268649504736]"
123,"[0.0974012433240811,0.31849766553690034,0.1149787075507144,-0.080474727631857,0.12275152032574017]"
124,"[0.01964684309703963,0.16905294864305428,0.02170745815549578,-0.00015329942107200623,0.0544630331652505]"
125,"[0.19339849219911479,0.3775017569688234,0.18217059842903507,-0.09526201473041014,0.1177749904719266]"
126,"[0.12976783758495003,0.3000880893378053,0.18403977627167478,-0.0914668626501225,0.0533988659735769]"
127,"[-0.005577093393852314,0.19740090492802362,0.15839423953245083,-0.03642473059395949,-0.03226640280336142]"
128,"[0.07305800303583965,0.3753771928604692,0.20454176096245646,-0.2996464784955606,0.11994997947476804]"
129,"[0.03201107308268547,0.1576030326208898,0.08011399442330003,0.06099035311490297,0.09938838532460587]"
130,"[0.14338176287710666,0.12489998638629914,0.02527393624186516,0.07357446141541005,0.12408376652747394]"
131,"[0.14945632692139882,0.2522761208506731,0.07672039505380851,-0.05311464346372165,0.15429824963212013]"
132,"[0.10809790001561244,0.38230499252676964,0.1405948506047328,-0.05514168972149491,0.03999020019546151]"
133,"[0.020783965988084675,0.2894796922802925,0.1271190507337451,-0.029456411115825178,0.042806479474529625]"
134,"[0.09667330392403528,0.3178916743490845,0.13424810767173767,-0.022296141542028636,0.002113434806233272]"
135,"[0.07294835789750019,0.31414400587479274,0.10303372256457806,-0.06968318956593672,0.036130453910057744]"
136,"[0.16232669389305207,0.3360465061492645,0.13443789093826827,-0.04162740929482075,0.03184380410955503]"
137,"[0.18229043893516064,0.3976437638513744,0.15478750734279553,-0.0949494765450557,0.023691203196843466]"
138,"[0.03863247215122101,0.36202950292499736,0.1385384133318439,-0.05132839601719752,0.06649864744395018]"
139,"[0.15673991358683753,0.19124435334621617,0.21097978045387814,-0.11589826139000554,0.07205595301153758]"
140,"[0.11340895686298609,0.1598524815030396,0.19515523355454206,-0.1248062502592802,0.05818162122741342]"
141,"[0.19544839972054193,0.24484512950048634,0.1966021677577182,-0.02011588377583968,0.1508291263721491]"
142,"[0.08635306570471989,0.2106543897340695,0.06237843053208457,0.08682714508742921,0.08629616618984275]"
